taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1996,Los Angeles,6037,9396400,3349710,1.38598E+11,22158,35,1217871,40620,26,5597369000,34.0594833,-118.242048,POINT (-118.242048 34.0594833)
1996,Madera,6039,110300,36113,1035128000,19170,53,17849,33629,47,27222000,37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
1996,Marin,6041,239500,117565,8654216000,34654,1,44946,72953,1,476110000,38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
1996,Mariposa,6043,15950,5824,174140000,21982,36,3035,34493,46,4513000,37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
1996,Mendocino,6045,84800,32431,991447000,20779,42,14729,35191,42,30277000,39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
1996,Merced,6047,198400,59987,1686550000,19573,52,29117,32770,48,42235000,37.1324242,-120.7167521,POINT (-120.7167521 37.1324242)
1996,Modoc,6049,10000,2877,66269000,19764,49,1599,28848,56,1694000,41.71368177,-120.943072,POINT (-120.943072 41.71368177)
1996,Mono,6051,10500,4485,133819000,19808,48,1793,39382,29,3631000,38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
1996,Monterey,6053,360200,138148,5053178000,21924,38,56989,39905,28,174320000,36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
1996,Napa,6055,119000,47034,2031036000,27212,13,21203,46877,14,79011000,38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
1996,Nevada,5099,87100,34781,1254869000,25158,18,17722,40889,24,38138000,39.29548859,-120.9008733,POINT (-120.9008733 39.29548859)
1996,Orange,6059,2649800,1097555,51404847000,27202,14,459893,52667,6,2108110000,33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
1996,Placer,6061,209200,101219,4370081000,29623,8,50523,51770,7,151378000,39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
1996,Plumas,6063,20250,7400,230747000,23643,28,4020,37495,37,6019000,40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
1996,Riverside,6065,1393300,465357,15924045000,23168,30,221252,40252,27,451072000,33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
1996,Sacramento,6067,1132100,431230,16166814000,27277,12,177003,47945,13,517716000,38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
1996,San Benito,6069,44000,17627,619272000,23632,29,8290,45864,16,18130000,36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
1996,San Bernardino,6071,1592600,510415,17524124000,24702,21,238270,42455,21,473851000,34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
1996,San Diego,6073,2694900,1014658,40799532000,24329,22,431006,43874,18,1426387000,32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
1996,San Francisco,6075,768200,380296,19130044000,26806,15,100258,44077,17,950647000,37.7577,-122.4376,POINT (-122.4376 37.7577)
1996,San Joaquin,6077,533200,175554,6104708000,24160,25,82178,43148,20,182782000,37.933703,-121.3444014,POINT (-121.3444014 37.933703)
1996,San Luis Obispo,6079,230700,87830,3110160000,24122,26,40733,42288,22,98422000,35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
1996,San Mateo,6081,698000,314018,20614491000,33147,4,126837,61943,4,1023712000,37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
1996,Santa Barbara,6083,393700,151471,6318705000,23899,27,64319,43279,19,247303000,34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
1996,Santa Clara,6085,1638300,732090,43153762000,33313,3,291799,64762,2,2115591000,37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
1996,Santa Cruz,4023,243600,107068,4446713000,24325,24,41120,48690,12,177047000,37.02159755,-121.9471295,POINT (-121.9471295 37.02159755)
1996,Shasta,6089,161700,57369,1843709000,22550,34,29997,36418,39,51423000,40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
1996,Sierra,6091,3360,1206,40985000,25755,17,655,38564,33,996000,39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
1996,Siskiyou,6093,44000,16178,442452000,19684,51,8583,30462,52,11056000,41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
1996,Solano,6095,372400,138246,5514999000,29717,6,64271,51627,8,152439000,38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
1996,Sonoma,6097,424500,183451,7430970000,27440,10,78523,49934,11,261266000,38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
1996,Stanislaus,6099,418500,144398,4751071000,22611,33,69548,38886,31,138756000,37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
1996,Sutter,6101,74600,26827,835759000,21607,40,14127,35224,41,22953000,39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
1996,Tehama,6103,54400,16449,436464000,18960,54,8529,29398,55,10786000,40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
1996,Trinity,6105,13350,4367,123790000,19970,45,2315,30752,51,3300000,40.84092907,-122.972844,POINT (-122.972844 40.84092907)
1996,Tulare,6107,353600,112066,3035840000,17213,56,51141,31555,49,82000000,36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
1996,Tuolumne,6109,51600,18599,600363000,23130,31,9802,36207,40,16620000,37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
1996,Ventura,6111,714800,283838,12657565000,27534,9,130334,51304,9,478517000,34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
1996,Yolo,6113,152500,57731,2198997000,24327,23,24800,46309,15,73922000,38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
1996,Yuba,6115,60500,16973,451273000,19992,44,8668,30299,53,9570000,39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
1997,Alameda,6001,1398500,588369,28723809000,31318,7,221235,60896,5,1206145000,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
1997,Alpine,6003,1230,285,10477000,27832,16,164,43999,24,314000,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
1997,Amador,6005,33450,12598,450015000,27260,17,6850,42035,31,12831000,38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
1997,Butte,6007,198500,69214,2190606000,21567,43,31872,36961,44,63136000,39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
1997,Calaveras,6009,37950,14769,514250000,26225,21,8150,40497,34,14120000,38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
1997,Colusa,6011,18600,7307,214158000,18516,56,3442,29812,57,6558000,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
1997,Contra Costa,6013,896200,385027,22797635000,35953,2,170178,67041,3,1041314000,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
1997,Del Norte,6015,28400,7607,232606000,22681,39,3858,37478,42,5786000,41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
1997,El Dorado,6017,147400,51060,2467776000,33499,5,28120,54269,10,91178000,38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
1997,Fresno,6019,778700,254288,8403227000,20642,49,107343,39387,37,269484000,36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
