fire_year,fips_code,fod_id
2007,6045,186
2007,6047,465
2007,6049,125
2007,6051,49
2007,6053,186
2007,6055,121
2007,6057,170
2007,6059,131
2007,6061,404
2007,6063,114
2007,6065,1674
2007,6067,103
2007,6069,55
2007,6071,537
2007,6073,560
2007,6075,18
2007,6077,304
2007,6079,243
2007,6081,73
2007,6083,73
2007,6085,136
2007,6087,159
2007,6089,396
2007,6091,48
2007,6093,284
2007,6095,104
2007,6097,268
2007,6099,223
2007,6101,61
2007,6103,267
2007,6105,103
2007,6107,465
2007,6109,275
2007,6111,34
2007,6113,55
2007,6115,151
2008,6001,160
2008,6003,20
2008,6005,58
2008,6007,270
2008,6009,121
2008,6011,16
2008,6013,248
2008,6015,83
2008,6017,290
2008,6019,488
2008,6021,17
2008,6023,351
2008,6025,26
2008,6027,33
2008,6029,174
2008,6031,13
2008,6033,73
2008,6035,117
2008,6037,734
2008,6039,306
2008,6041,41
2008,6043,93
2008,6045,272
2008,6047,467
2008,6049,129
2008,6051,39
2008,6053,108
2008,6055,91
2008,6057,181
2008,6059,86
2008,6061,284
2008,6063,114
2008,6065,777
2008,6067,139
2008,6069,47
2008,6071,517
2008,6073,435
2008,6075,24
2008,6077,234
2008,6079,125
2008,6081,88
2008,6083,59
2008,6085,157
2008,6087,135
2008,6089,354
2008,6091,24
2008,6093,256
2008,6095,74
2008,6097,264
2008,6099,226
2008,6101,56
2008,6103,224
2008,6105,233
2008,6107,248
2008,6109,162
2008,6111,29
2008,6113,43
2008,6115,157
2009,6001,162
2009,6003,18
2009,6005,70
2009,6007,282
2009,6009,111
2009,6011,26
2009,6013,184
2009,6015,82
2009,6017,268
2009,6019,403
2009,6021,16
2009,6023,351
2009,6025,41
2009,6027,35
2009,6029,319
2009,6031,20
2009,6033,69
2009,6035,184
2009,6037,828
2009,6039,239
2009,6041,18
2009,6043,76
2009,6045,151
2009,6047,291
2009,6049,80
2009,6051,73
2009,6053,91
2009,6055,71
2009,6057,140
2009,6059,116
2009,6061,239
2009,6063,114
2009,6065,760
2009,6067,117
2009,6069,36
2009,6071,696
2009,6073,461
2009,6075,19
2009,6077,202
2009,6079,123
2009,6081,74
2009,6083,58
2009,6085,119
2009,6087,94
2009,6089,278
2009,6091,33
2009,6093,287
2009,6095,80
2009,6097,196
2009,6099,170
2009,6101,52
2009,6103,142
2009,6105,166
2009,6107,214
2009,6109,100
2009,6111,32
2009,6113,59
2009,6115,121
2010,6001,134
2010,6003,25
2010,6005,49
2010,6007,179
2010,6009,102
2010,6011,15
2010,6013,329
2010,6015,30
2010,6017,224
2010,6019,378
2010,6021,14
2010,6023,198
2010,6025,26
2010,6027,31
2010,6029,110
2010,6031,22
2010,6033,68
2010,6035,112
2010,6037,897
2010,6039,217
2010,6041,28
2010,6043,69
2010,6045,111
2010,6047,270
2010,6049,103
2010,6051,39
2010,6053,98
2010,6055,73
2010,6057,102
2010,6059,91
2010,6061,273
2010,6063,74
2010,6065,772
2010,6067,204
2010,6069,33
2010,6071,372
2010,6073,385
2010,6075,13
2010,6077,187
2010,6079,112
2010,6081,63
2010,6083,45
2010,6085,131
2010,6087,86
2010,6089,198
2010,6091,28
2010,6093,130
2010,6095,23
2010,6097,145
2010,6099,192
2010,6101,36
2010,6103,126
2010,6105,61
2010,6107,154
2010,6109,130
2010,6111,26
2010,6113,75
2010,6115,84
2011,6001,125
2011,6003,17
2011,6005,48
2011,6007,214
2011,6009,120
2011,6011,27
2011,6013,275
2011,6015,27
2011,6017,221
2011,6019,470
2011,6021,8
2011,6023,212
2011,6025,40
2011,6027,29
2011,6029,215
2011,6031,40
2011,6033,65
2011,6035,95
2011,6037,900
2011,6039,259
2011,6041,20
2011,6043,77
2011,6045,166
2011,6047,278
2011,6049,74
2011,6051,36
2011,6053,106
2011,6055,55
2011,6057,92
2011,6059,88
2011,6061,199
2011,6063,65
2011,6065,968
2011,6067,150
2011,6069,39
2011,6071,430
2011,6073,447
2011,6075,11
2011,6077,68
2011,6079,130
2011,6081,45
2011,6083,47
2011,6085,103
2011,6087,86
2011,6089,241
2011,6091,36
2011,6093,119
2011,6095,20
2011,6097,96
2011,6099,108
2011,6101,30
2011,6103,134
2011,6105,54
2011,6107,191
2011,6109,152
2011,6111,31
2011,6113,79
2011,6115,78
2012,6001,26
2012,6003,22
2012,6005,57
2012,6007,186
2012,6009,159
2012,6011,19
2012,6013,54
2012,6015,42
2012,6017,248
2012,6019,354
2012,6021,13
2012,6023,250
2012,6025,25
2012,6027,34
2012,6029,300
2012,6031,8
2012,6033,81
2012,6035,73
2012,6037,422
2012,6039,241
2012,6041,20
2012,6043,87
2012,6045,133
2012,6047,221
2012,6049,66
2012,6051,66
2012,6053,107
2012,6055,50
2012,6057,137
2012,6059,63
2012,6061,245
2012,6063,93
2012,6065,861
2012,6067,32
2012,6069,44
2012,6071,355
2012,6073,265
2012,6075,2
2012,6077,19
2012,6079,133
2012,6081,38
2012,6083,42
2012,6085,58
2012,6087,72
2012,6089,244
2012,6091,36
2012,6093,160
2012,6095,23
2012,6097,134
2012,6099,47
2012,6101,1
2012,6103,155
2012,6105,105
2012,6107,140
2012,6109,131
2012,6111,56
2012,6113,36
2012,6115,105
2013,6001,63
2013,6003,45
2013,6005,78
2013,6007,283
2013,6009,103
2013,6011,21
2013,6013,90
2013,6015,33
2013,6017,282
2013,6019,368
2013,6021,29
2013,6023,398
2013,6025,37
2013,6027,46
2013,6029,274
2013,6031,46
2013,6033,101
2013,6035,127
2013,6037,277
2013,6039,295
2013,6041,56
2013,6043,74
2013,6045,191
2013,6047,315
2013,6049,132
2013,6051,66
2013,6053,109
2013,6055,78
2013,6057,159
2013,6059,80
2013,6061,277
2013,6063,131
2013,6065,754
2013,6067,140
2013,6069,26
2013,6071,296
2013,6073,292
2013,6075,7
2013,6077,167
2013,6079,146
2013,6081,59
2013,6083,46
2013,6085,90
2013,6087,132
2013,6089,322
2013,6091,34
2013,6093,321
2013,6095,45
2013,6097,255
2013,6099,74
2013,6101,25
2013,6103,175
2013,6105,133
2013,6107,185
